topic	definition
V-PNI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PNI-1S-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p><p>Contracted form</p>
V-PNI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PNI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PNI-2S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-PNI-2S-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>Contracted form</p>
V-PNI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PNI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PNI-3S-I	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PNM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PNM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PNM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PNM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PNN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> iNfinitive</p>
V-PNO-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PNO-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PNO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PNP-APF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PNP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PNP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PNP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PNP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PNP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PNP-DPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PNP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PNP-DPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PNP-DSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PNP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PNP-DSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PNP-GPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PNP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PNP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PNP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PNP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PNP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PNP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PNP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PNP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PNP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PNP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PNP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PNS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PNS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PNS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PNS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PNS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PNS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-POP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PPI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PPI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PPI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PPI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PPI-2S-IRR	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>IRRegular or inpure form</p>
V-PPI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PPI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PPM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PPM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PPM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PPM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iNfinitive</p>
V-PPN-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iNfinitive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PPP-APF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PPP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PPP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PPP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PPP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PPP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PPP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PPP-DPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PPP-DSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PPP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PPP-DSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PPP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PPP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PPP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PPP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PPP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PPP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PPP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PPP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PPP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PPP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PPP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PPS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PPS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PPS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PPS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PPS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PQI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PQN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> iNfinitive</p>
V-PQP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PQP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PQS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PXI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PXI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PXI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PXI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PXI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PXI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
